question_id,question,reviewed_static_core_question,source_url,source_title,source_relevant,answer_supported_by_source,question_fully_answered,temporal_claim_supported,high_stakes_or_current,original_question_promote,static_core_promote,gold_evidence_quote,reason,evidence_gap,reviewer_model,reviewer_provenance
CH-0001,Cách phân biệt Deepfake và video thật mới nhất năm nay (Mã CH-0001)?,,https://en.wikipedia.org/wiki/Deepfake,Deepfake - Wikipedia,False,False,False,False,True,False,False,,"No source_text was supplied. Because the source content is empty, I cannot confirm whether the candidate's claims appear in the referenced article or are accurate. The answer therefore is unsupported by the provided source and cannot be promoted. The question includes a time-sensitive phrase ('mới nhất năm nay'), making it current; without source evidence, time-sensitive claims cannot be validated.","Missing source evidence for each asserted item: (1) 'Nháy mắt bất thường hoặc thiếu nháy mắt'; (2) 'Ánh sáng không nhất quán trên khuôn mặt'; (3) 'Ranh giới khuôn mặt bị mờ hoặc nhòe'; (4) 'Không đồng bộ giữa âm thanh và chuyển động môi'; (5) recommendation to use specific detection tools 'FakeCatcher của Intel' and 'Microsoft Video Authenticator'. The source_text contains no quotes, citations, or excerpts to support any of these points.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0002,Chính sách tiền tệ điều hành lãi suất của Ngân hàng Nhà nước mới nhất năm nay (Mã CH-0002)?,,https://vi.wikipedia.org/wiki/Ng%C3%A2n_h%C3%A0ng_Nh%C3%A0_n%C6%B0%E1%BB%9Bc_Vi%E1%BB%87t_Nam,Ngân hàng Nhà nước Việt Nam,False,False,False,False,True,False,False,,Nguồn văn bản được cung cấp trống nên không có bằng chứng để xác thực hay trích dẫn. Phần trả lời ứng viên không chứa thông tin về chính sách lãi suất hoặc dữ liệu thời sự mà câu hỏi yêu cầu.,"Thiếu nội dung/văn bản nêu chính sách điều hành lãi suất hiện hành (ví dụ: mức lãi suất tham chiếu, lãi suất tái cấp vốn, lãi suất tín phiếu, hoặc văn bản/quyết định/ thông báo của Ngân hàng Nhà nước cùng ngày ban hành).",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0003,Thủ tục cấp đổi hộ chiếu phổ thông online trên Cổng dịch vụ công mới nhất năm nay (Mã CH-0003)?,,https://e-services.mps.gov.vn/bocongan/tintuc/chitiet?matin=42,MPS public service portal,False,False,False,False,True,False,False,,"The source_text field is empty, so there is no evidence in the provided source to confirm any part of the candidate answer. Without the source content, I cannot determine whether the listed steps, fee amount, or processing times match the official procedure.",No source content provided. Missing verifiable citations for: (1) each procedural step; (2) required documents and photo specs; (3) exact online payment method and fee amount; (4) official processing times and expedited service details; (5) pickup vs. postal delivery options. The URL and title were given but contained no quoted or pasted text to support claims.,gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0004,Triệu chứng nhận biết sớm đột quỵ và cách sơ cứu mới nhất năm nay (Mã CH-0004)?,,https://en.wikipedia.org/wiki/Stroke,Stroke - Wikipedia,False,False,False,False,True,False,False,,"Văn bản nguồn (source_text) trống, nên không có bằng chứng trong nguồn để so sánh hoặc hỗ trợ bất kỳ phần nào của câu trả lời ứng viên. Ngoài ra, câu hỏi và câu trả lời liên quan đến sơ cứu y tế khẩn cấp (đột quỵ), là vấn đề high-stakes, vì vậy cần bằng chứng rõ ràng từ nguồn đáng tin cậy trước khi chấp nhận hoặc quảng bá.","Không có nội dung nguồn để trích dẫn hoặc kiểm chứng: thiếu mô tả chính thức về tiêu chí nhận biết sớm (ví dụ FAST) và thiếu tham chiếu cho khuyến cáo thời gian điều trị (ví dụ ngưỡng 4,5 giờ cho tiêu huyết khối) hoặc các bước sơ cứu chi tiết.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0005,Phương pháp học ngoại ngữ hiệu quả qua kỹ thuật Spaced Repetition mới nhất năm nay (Mã CH-0005)?,Phương pháp học ngoại ngữ hiệu quả qua kỹ thuật Spaced Repetition (Mã CH-0005)?,https://en.wikipedia.org/wiki/Spaced_repetition,Spaced repetition,True,True,False,False,False,False,True,"Spaced repetition is an evidence-based learning technique that is usually performed with flashcards. Newly introduced and more difficult flashcards are shown more frequently, while older and less difficult flashcards are shown less frequently in order to exploit the psychological spacing effect. The use of spaced repetition has been proven to increase the rate of learning.","Nguồn cung cấp định nghĩa và kết luận rằng spaced repetition là kỹ thuật dựa trên bằng chứng và cải thiện tốc độ học, nên nguồn liên quan và câu trả lời được hỗ trợ. Tuy nhiên nguồn không có bất kỳ thông tin nào liên quan tới khẳng định thời gian ('mới nhất/năm nay') và không cung cấp hướng dẫn chi tiết áp dụng cho học ngoại ngữ; do đó không thể duyệt nguyên câu hỏi gốc có yếu tố thời gian. Việc loại bỏ cụm từ thời gian ('mới nhất/năm nay') cho phép câu hỏi lõi được trả lời bởi nguồn, nên chấp nhận quảng bá static-core.","Không có thông tin nào trong nguồn về khía cạnh 'mới nhất năm nay' và không có chỉ dẫn cụ thể (ví dụ: quy trình, tần suất, công cụ flashcard, lưu ý cho ngôn ngữ) để hiện thực hóa kỹ thuật cho học ngoại ngữ.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0006,Ý nghĩa lịch sử của Chiến thắng Điện Biên Phủ năm 1954 mới nhất năm nay (Mã CH-0006)?,,https://vi.wikipedia.org/wiki/Chi%E1%BA%BFn_d%E1%BB%8Bch_%C4%90i%E1%BB%87n_Bi%C3%AAn_Ph%E1%BB%A7,Chiến dịch Điện Biên Phủ,True,True,False,False,False,False,False,"Trận Điện Biên Phủ, còn gọi là Chiến dịch Điện Biên Phủ, là trận đánh lớn nhất trong Chiến tranh Đông Dương lần thứ nhất diễn ra tại lòng chảo Mường Thanh, châu Điện Biên, tỉnh Lai Châu giữa Quân đội Nhân dân Việt Nam và Quân đội Liên hiệp Pháp.","The candidate answer quotes the provided source verbatim, so the quoted statement is supported by the source. However, the user asked for the ""ý nghĩa lịch sử"" (historical significance), and the provided source text only gives a factual description of the battle's location and participants; it does not discuss consequences, significance, or historical impact. Therefore the question is not fully answered and cannot be promoted.","The source lacks any information about the battle's outcomes, consequences, political or social impact, or statements about its historical significance. Missing details include post-battle effects, diplomatic outcomes, changes in colonial status, or interpretations of its historical meaning.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0007,Các bộ phim đạt giải Oscar xuất sắc nhất lịch sử mới nhất năm nay (Mã CH-0007)?,,https://vi.wikipedia.org/wiki/Oscar,Oscar,False,False,False,False,True,False,False,,"Nguồn được cung cấp có trường source_text rỗng, nên không có nội dung để kiểm chứng. Ứng viên trích dẫn (theo mô tả) mục disambiguation của Wikipedia về 'Oscar', nhưng bản trích không chứa danh sách phim đoạt giải Phim xuất sắc nhất hoặc thông tin nào về năm gần nhất. Vì thiếu văn bản nguồn, không thể xác định bất kỳ khẳng định hiện thời nào và không thể thúc đẩy câu hỏi/đáp án để dùng làm 'original' hay 'static-core'.",Thiếu nội dung nguồn (source_text rỗng). Cần văn bản nguồn liệt kê các phim đoạt Giải Oscar cho Phim xuất sắc nhất (Best Picture) cùng với mốc thời gian (năm thắng gần nhất) để trả lời câu hỏi và xác minh tính hiện thời ('mới nhất/năm nay').,gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0008,Tác động của hiện tượng El Nino đến thời tiết Việt Nam mới nhất năm nay (Mã CH-0008)?,,https://vi.wikipedia.org/wiki/El_Ni%C3%B1o,El Niño,True,True,False,False,True,False,False,"Chủ yếu chỉ nhiệt độ mặt biển ở đại dương nhiệt đới của phần phía đông và trung tâm của Thái Bình Dương liên tục không ngừng thay đổi khiến cho nóng ấm một cách khác thường, khiến cho mô thức khí hậu của cả thế giới phát sinh biến hoá, hình thành một số khu vực khô cạn và một số khu vực khác lượng mưa xuống lại vượt hơn mức độ thường.","Ứng viên đã trích dẫn phần định nghĩa chung về El Niño từ nguồn — điều này được hỗ trợ bởi văn bản nguồn. Nhưng câu hỏi yêu cầu tác động đến thời tiết Việt Nam 'mới nhất năm nay' — nguồn không chứa thông tin khu vực (Việt Nam) hay dữ liệu/nhận định cho năm hiện tại, nên câu hỏi không được trả lời.","Nguồn không đề cập tới Việt Nam hoặc bất kỳ phân tích khu vực nào; không có dữ liệu thời sự hay kết luận cho 'năm nay' hoặc mốc thời gian nào. Thiếu thông tin cụ thể về: (1) cách El Niño ảnh hưởng các mùa mưa/khô, bão, nhiệt độ ở Việt Nam; (2) hiện trạng/nhận định năm hiện tại.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0009,Kinh nghiệm du lịch tự túc Đà Nẵng - Hội An chi tiết mới nhất năm nay (Mã CH-0009)?,,https://vi.wikipedia.org/wiki/Đà_Nẵng,Đà Nẵng - Wikipedia,False,False,False,False,False,False,False,,"Trường 'source_text' trống. Không có nội dung nguồn để đối chiếu hoặc làm bằng chứng cho bất kỳ tuyên bố nào trong câu trả lời ứng viên (thời gian di chuyển, giá taxi/thuê xe, danh sách điểm tham quan, ước tính chi phí, v.v.). Do đó không thể xác nhận rằng câu trả lời được hỗ trợ bởi nguồn.","Thiếu nội dung nguồn cụ thể. Cần các trích dẫn hoặc dữ liệu từ nguồn xác thực về: (1) thời gian di chuyển sân bay Đà Nẵng → trung tâm; (2) quãng đường/giá taxi hoặc dịch vụ đặt xe giữa Đà Nẵng và Hội An; (3) giá thuê xe máy theo ngày; (4) danh sách điểm tham quan chính với nguồn xác nhận; (5) ước tính chi phí cho chuyến 3 ngày 2 đêm với phân loại chi phí (phòng, ăn, đi lại, vé tham quan); (6) tính cập nhật cho tuyên bố 'mới nhất/năm nay'.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0010,Luật thi đấu môn Cầu lông mới nhất của Liên đoàn Thế giới mới nhất năm nay (Mã CH-0010)?,,https://vi.wikipedia.org/wiki/C%E1%BA%A7u_l%C3%B4ng,Cầu lông,False,False,False,False,True,False,False,,"Không có nội dung văn bản nguồn (source_text trống), vì vậy không thể so khớp hoặc xác nhận bất kỳ tuyên bố nào trong câu trả lời ứng viên. Ngoài ra câu hỏi yêu cầu 'mới nhất/năm nay' — một yêu cầu theo thời gian — nhưng không có bằng chứng cập nhật trong nguồn để kiểm chứng.",Thiếu nội dung nguồn; không có trích dẫn hoặc đoạn văn bản từ tài liệu BWF Laws of Badminton hoặc bất kỳ nguồn chính thức nào nêu các quy định/biên bản cập nhật và ngày hiệu lực. Do đó không thể xác định các quy định 'mới nhất' hay so sánh thay đổi so với phiên bản trước.,gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
